Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,Jan-20,91,88,3,69,72,19,16,2020,1,-27.3842,153.1175,-35.3069,149.195,81.81818181818183
Brisbane-Darwin,Brisbane,Darwin,Virgin Australia,Jan-20,32,32,0,17,18,15,14,2020,1,-27.3842,153.1175,-12.4147,130.8767,56.25
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,Jan-20,365,347,18,242,221,105,126,2020,1,-27.3842,153.1175,-37.669,144.841,63.68876080691642
Brisbane-Perth,Brisbane,Perth,Virgin Australia,Jan-20,112,112,0,64,78,48,34,2020,1,-27.3842,153.1175,-31.9403,115.9676,69.64285714285714
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,Jan-20,491,485,6,357,343,128,142,2020,1,-27.3842,153.1175,-33.9399,151.1753,70.72164948453609
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,Jan-20,143,143,0,122,124,21,19,2020,1,-16.8858,145.7553,-27.3842,153.1175,86.7132867132867
Cairns-Melbourne,Cairns,Melbourne,Virgin Australia,Jan-20,44,44,0,34,28,10,16,2020,1,-16.8858,145.7553,-37.669,144.841,63.63636363636363
Cairns-Sydney,Cairns,Sydney,Virgin Australia,Jan-20,100,100,0,81,79,19,21,2020,1,-16.8858,145.7553,-33.9399,151.1753,79.0
Canberra-Adelaide,Canberra,Adelaide,Virgin Australia,Jan-20,27,26,1,20,19,6,7,2020,1,-35.3069,149.195,-34.945,138.5306,73.07692307692307
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,Jan-20,91,88,3,74,74,14,14,2020,1,-35.3069,149.195,-27.3842,153.1175,84.0909090909091
